step, predict
10,9324.35
20,3546.74
30,1142.99
40,828.093
50,1046.56
60,962.881
70,739.979
80,586.892
90,485.098
100,434.146
110,415.725
120,377.711
130,346.896
140,318.418
150,292.871
160,269.244
170,244.179
180,232.075
190,213.88
200,196.218
210,183.824
220,172.276
230,158.155
240,151.186
250,138.879
260,133.333
270,124.052
280,117.649
290,114.155
300,109.001
310,102.28
320,97.5984
330,93.5793
340,90.9822
350,85.0141
360,82.0656
370,78.9173
380,75.4282
390,73.0789
400,70.9866
410,66.5339
420,66.1223
430,64.4834
440,62.7157
450,59.8552
460,56.861
470,56.7513
480,54.1682
490,52.265
500,51.7036
510,48.8121
520,47.8997
530,47.3214
540,46.0362
550,44.8273
560,41.6313
570,41.5192
580,40.3989
590,39.5974
600,38.6277
610,37.6709
620,35.6457
630,35.7359
640,33.9404
650,33.4959
660,31.4501
670,31.3084
680,30.4095
690,28.9837
700,28.35
710,27.2026
720,27.2583
730,26.3906
740,25.6024
750,25.1139
760,24.6014
770,24.047
780,22.9001
790,22.2096
800,21.7669
810,20.6802
820,20.3756
830,19.6929
840,18.0514
850,18.4226
860,18.739
870,17.6275
880,17.3027
890,16.6169
900,15.9267
910,15.9552
920,15.5091
930,14.7099
940,14.9201
950,14.2154
960,13.9287
970,13.4849
980,13.0254
990,12.5422
1000,12.4806
1010,11.8141
1020,11.6062
1030,11.301
1040,10.8723
1050,10.7631
1060,10.2769
1070,10.1328
1080,9.7668
1090,9.75681
1100,9.23091
1110,9.08964
1120,8.75338
1130,8.47706
1140,8.29776
1150,8.16339
1160,7.87706
1170,7.68513
1180,7.53738
1190,7.20892
1200,7.17168
1210,6.91049
1220,6.61326
1230,6.57358
1240,6.18722
1250,6.09475
1260,5.85004
1270,5.85241
1280,5.60796
1290,5.52356
1300,5.35514
1310,5.27953
1320,5.1247
1330,4.91294
1340,4.80592
1350,4.55704
1360,4.36073
1370,4.37841
1380,4.1859
1390,4.10463
1400,4.09424
1410,3.78108
1420,3.73551
1430,3.66918
1440,3.55697
1450,3.44401
1460,3.40513
1470,3.25388
1480,3.18852
1490,3.08152
1500,3.0003
1510,2.90329
1520,2.85925
1530,2.75487
1540,2.68882
1550,2.59161
1560,2.53497
1570,2.42768
1580,2.34455
1590,2.29713
1600,2.18204
1610,2.14946
1620,2.09692
1630,2.03072
1640,1.95548
1650,1.91429
1660,1.85603
1670,1.79624
1680,1.70411
1690,1.73499
1700,1.61002
1710,1.59151
1720,1.58623
1730,1.47191
1740,1.45149
1750,1.4026
1760,1.32873
1770,1.31661
1780,1.25846
1790,1.25634
1800,1.1798
1810,1.15796
1820,1.11608
1830,1.10039
1840,1.02676
1850,1.02194
1860,0.993192
1870,0.936982
1880,0.909411
1890,0.906691
1900,0.8757
1910,0.828956
1920,0.812548
1930,0.803034
1940,0.753832
1950,0.720104
1960,0.711245
1970,0.68695
1980,0.669877
1990,0.616503
2000,0.616681
2010,0.594506
2020,0.567228
2030,0.571732
2040,0.536463
2050,0.514597
2060,0.505026
2070,0.479222
2080,0.474676
2090,0.459054
2100,0.441205
2110,0.418285
2120,0.398616
2130,0.387933
2140,0.37438
2150,0.365489
2160,0.354879
2170,0.345956
2180,0.327964
2190,0.317211
2200,0.303241
2210,0.293612
2220,0.287905
2230,0.277532
2240,0.263724
2250,0.252995
2260,0.24678
2270,0.237157
2280,0.226141
2290,0.21368
2300,0.209573
2310,0.205343
2320,0.196011
2330,0.187094
2340,0.177328
2350,0.172345
2360,0.169245
2370,0.161127
2380,0.153334
2390,0.148062
2400,0.140368
2410,0.137746
2420,0.130957
2430,0.126071
2440,0.121343
2450,0.118524
2460,0.112281
2470,0.107908
2480,0.103228
2490,0.0963107
2500,0.0929637
2510,0.0927353
2520,0.0860435
2530,0.0824266
2540,0.0785145
2550,0.0773759
2560,0.0745649
2570,0.0715666
2580,0.0664197
2590,0.0642036
2600,0.0614097
2610,0.0600138
2620,0.0564063
2630,0.0543413
2640,0.0517339
2650,0.0501265
2660,0.0479446
2670,0.0461245
2680,0.0443215
2690,0.0413392
2700,0.0400924
2710,0.0380906
2720,0.0363943
2730,0.0344008
2740,0.0332156
2750,0.0311751
2760,0.0298034
2770,0.0286468
2780,0.0280933
2790,0.0260849
2800,0.0250543
2810,0.0235868
2820,0.0223546
2830,0.0213292
2840,0.0204908
2850,0.0196662
2860,0.018185
2870,0.0174319
2880,0.0170998
2890,0.0159425
2900,0.0150527
2910,0.0140618
2920,0.0140083
2930,0.013031
2940,0.0124667
2950,0.0120442
2960,0.0113528
2970,0.0106599
2980,0.0101938
2990,0.00965221
3000,0.00911482
3010,0.0085867
3020,0.00817655
3030,0.00769727
3040,0.0073624
3050,0.00700227
3060,0.00644624
3070,0.00628464
3080,0.00594463
3090,0.00562287
3100,0.00522057
3110,0.00500495
3120,0.00479109
3130,0.00452552
3140,0.00411224
3150,0.00402396
3160,0.00381881
3170,0.00363367
3180,0.00335614
3190,0.00318701
3200,0.00300449
3210,0.00280179
3220,0.00268289
3230,0.00256573
3240,0.00239908
3250,0.00226806
3260,0.00216215
3270,0.00198747
3280,0.00188273
3290,0.00180962
3300,0.00164918
3310,0.00157747
3320,0.0014472
3330,0.00136415
3340,0.00128744
3350,0.00121407
3360,0.00115668
3370,0.00103651
3380,0.00101347
3390,0.000963269
3400,0.000876967
3410,0.000832493
3420,0.00078612
3430,0.000724791
3440,0.000672745
3450,0.000634205
3460,0.000600917
3470,0.000549786
3480,0.000508396
3490,0.000478874
3500,0.000446368
3510,0.000431433
3520,0.000398566
3530,0.000369637
3540,0.000344514
3550,0.000328995
3560,0.000291138
3570,0.000284313
3580,0.000260909
3590,0.000243088
3600,0.000224103
3610,0.000212822
3620,0.000196688
3630,0.000179361
3640,0.000171437
3650,0.000157789
3660,0.000147678
3670,0.000136556
3680,0.000129633
3690,0.000117143
3700,0.000109497
3710,0.000102175
3720,9.2292e-05
3730,8.57792e-05
3740,8.01496e-05
3750,7.4987e-05
3760,6.90557e-05
3770,6.3415e-05
3780,5.84765e-05
3790,5.33484e-05
3800,4.99282e-05
3810,4.59771e-05
3820,4.23914e-05
3830,3.93485e-05
3840,3.65461e-05
3850,3.32122e-05
3860,3.09161e-05
3870,2.75296e-05
3880,2.614e-05
3890,2.39648e-05
3900,2.15125e-05
3910,2.02245e-05
3920,1.90363e-05
3930,1.74859e-05
3940,1.56614e-05
3950,1.42788e-05
3960,1.3421e-05
3970,1.21197e-05
3980,1.09115e-05
3990,1.00831e-05
4000,9.35808e-06
4010,8.55822e-06
4020,7.80515e-06
4030,7.12601e-06
4040,6.60161e-06
4050,6.00585e-06
4060,5.42343e-06
4070,5.13513e-06
4080,4.57487e-06
4090,4.17395e-06
4100,3.78842e-06
4110,3.47427e-06
4120,3.16037e-06
4130,2.80689e-06
4140,2.61806e-06
4150,2.31184e-06
4160,2.20151e-06
4170,1.96015e-06
4180,1.79767e-06
4190,1.60115e-06
4200,1.4715e-06
4210,1.29936e-06
4220,1.18072e-06
4230,1.07343e-06
4240,9.69326e-07
4250,8.97654e-07
4260,8.12825e-07
4270,7.37264e-07
4280,6.46029e-07
4290,5.93973e-07
4300,5.39212e-07
4310,4.68837e-07
4320,4.25351e-07
4330,3.97793e-07
4340,3.54123e-07
4350,3.14427e-07
4360,2.84483e-07
4370,2.53182e-07
4380,2.22826e-07
4390,2.07296e-07
4400,1.79046e-07
4410,1.69874e-07
4420,1.53023e-07
4430,1.40438e-07
4440,1.20913e-07
4450,1.05926e-07
4460,9.82319e-08
4470,8.36284e-08
4480,7.39302e-08
4490,6.42382e-08
4500,5.98464e-08
4510,5.54986e-08
4520,5.19994e-08
4530,4.70195e-08
4540,4.38345e-08
4550,3.86488e-08
4560,3.5874e-08
4570,3.17191e-08
4580,2.8287e-08
4590,2.47282e-08
4600,2.17683e-08
4610,1.8868e-08
4620,1.57356e-08
4630,1.36898e-08
4640,1.13082e-08
4650,9.39068e-09
4660,7.60355e-09
4670,6.38891e-09
4680,6.20345e-09
4690,6.32559e-09
4700,6.43814e-09
4710,6.19268e-09
4720,6.30515e-09
4730,6.19807e-09
4740,6.10755e-09
4750,6.3158e-09
4760,6.12326e-09
4770,6.10292e-09
4780,6.03331e-09
4790,6.12694e-09
4800,6.16028e-09
4810,6.14783e-09
4820,6.05792e-09
4830,6.00007e-09
4840,6.03349e-09
4850,5.98238e-09
4860,6.05517e-09
4870,5.91595e-09
4880,6.04035e-09
4890,5.85829e-09
4900,5.91717e-09
4910,5.91854e-09
4920,5.8899e-09
4930,5.82086e-09
4940,5.74138e-09
4950,5.76095e-09
4960,5.37636e-09
4970,5.59507e-09
4980,5.52845e-09
4990,5.60223e-09
5000,5.67066e-09
5010,5.65368e-09
5020,5.27133e-09
5030,4.76123e-09
