step, loss, error
10,0.394552,0.528924
20,0.48649,0.529395
30,0.535413,0.530022
40,0.565721,0.530849
50,0.352318,0.530977
60,0.421844,0.530829
70,0.383001,0.53054
80,0.36195,0.530884
90,0.482432,0.53143
100,0.479844,0.531321
110,0.472957,0.530607
120,0.543417,0.530407
130,0.324986,0.530646
140,0.350113,0.530584
150,0.399834,0.530279
160,0.459978,0.530401
170,0.452851,0.52969
180,0.363949,0.529016
190,0.544192,0.528281
200,0.431796,0.527398
210,0.39147,0.52723
220,0.390142,0.52645
230,0.300416,0.525653
240,0.435986,0.524382
250,0.405934,0.52268
260,0.420469,0.521619
270,0.36091,0.521154
280,0.417052,0.521136
290,0.345509,0.522017
300,0.387481,0.522633
310,0.391004,0.523119
320,0.368986,0.523355
330,0.349809,0.523226
340,0.489338,0.522766
350,0.51101,0.521735
360,0.371841,0.520673
370,0.456541,0.52014
380,0.431644,0.519297
390,0.449861,0.517547
400,0.458477,0.51586
410,0.287639,0.514734
420,0.231519,0.513518
430,0.533665,0.51243
440,0.270044,0.511547
450,0.304463,0.511099
460,0.378441,0.510482
470,0.353363,0.510423
480,0.410475,0.509848
490,0.381621,0.509222
500,0.379436,0.508018
510,0.235532,0.507118
520,0.31254,0.505846
530,0.372127,0.505252
540,0.281415,0.504527
550,0.404511,0.503779
560,0.429311,0.503858
570,0.333557,0.504069
580,0.353463,0.503677
590,0.439494,0.503238
600,0.227998,0.50252
610,0.456492,0.501892
620,0.265097,0.500839
630,0.25233,0.499882
640,0.257534,0.49914
650,0.485773,0.498422
660,0.345973,0.498097
670,0.276078,0.496524
680,0.275225,0.493981
690,0.231104,0.493105
700,0.317931,0.492468
710,0.286724,0.491513
720,0.252178,0.490356
730,0.303791,0.489781
740,0.281483,0.48851
750,0.271461,0.487765
760,0.193086,0.486993
770,0.276364,0.486328
780,0.186614,0.485329
790,0.241228,0.484532
800,0.250536,0.484039
810,0.203384,0.483223
820,0.356845,0.481612
830,0.304486,0.479699
840,0.248381,0.47816
850,0.202117,0.477094
860,0.184419,0.476642
870,0.256498,0.477721
880,0.250005,0.47973
890,0.238887,0.480076
900,0.358987,0.479712
910,0.244876,0.479024
920,0.221199,0.47872
930,0.245565,0.478726
940,0.245384,0.478388
950,0.241973,0.477287
960,0.259975,0.476143
970,0.199973,0.475934
980,0.196173,0.475106
990,0.229889,0.474546
1000,0.209105,0.474515
1010,0.280911,0.474607
1020,0.236428,0.474268
1030,0.225342,0.47285
1040,0.233094,0.471706
1050,0.25056,0.471117
1060,0.235511,0.470317
1070,0.261871,0.469864
1080,0.217335,0.469707
1090,0.185849,0.469203
1100,0.218096,0.468917
1110,0.193591,0.468542
1120,0.233483,0.467843
1130,0.262589,0.467425
1140,0.190498,0.46662
1150,0.230272,0.465077
1160,0.292058,0.46253
1170,0.257407,0.460222
1180,0.347684,0.45782
1190,0.265231,0.45601
1200,0.200278,0.454794
1210,0.221657,0.453039
1220,0.211663,0.451187
1230,0.227218,0.449334
1240,0.261872,0.447885
1250,0.249966,0.446758
1260,0.201311,0.446075
1270,0.233391,0.445869
1280,0.20453,0.445489
1290,0.220337,0.44458
1300,0.264237,0.444044
1310,0.258991,0.442839
1320,0.136845,0.442033
1330,0.206116,0.44137
1340,0.188599,0.4411
1350,0.172666,0.439964
1360,0.224985,0.438492
1370,0.280149,0.436546
1380,0.251171,0.434696
1390,0.221861,0.43276
1400,0.241491,0.431561
1410,0.244379,0.43065
1420,0.246631,0.430184
1430,0.232648,0.4301
1440,0.177539,0.429303
1450,0.171944,0.428453
1460,0.2115,0.427868
1470,0.153378,0.4269
1480,0.204071,0.42614
1490,0.159273,0.424819
1500,0.23188,0.422558
1510,0.151243,0.420398
1520,0.223391,0.418961
1530,0.130648,0.417452
1540,0.143652,0.416434
1550,0.136204,0.415745
1560,0.166194,0.415296
1570,0.255711,0.414504
1580,0.167185,0.41335
1590,0.212598,0.412603
1600,0.173877,0.411321
1610,0.0993607,0.410137
1620,0.211549,0.408979
1630,0.163359,0.408086
1640,0.162501,0.40786
1650,0.156832,0.408135
1660,0.169898,0.408022
1670,0.169533,0.407323
1680,0.170795,0.406615
1690,0.274,0.405313
1700,0.166091,0.404329
1710,0.210971,0.403235
1720,0.219308,0.401803
1730,0.170887,0.399868
1740,0.191217,0.397928
1750,0.242147,0.396239
1760,0.143073,0.394473
1770,0.15595,0.393571
1780,0.179988,0.392309
1790,0.188968,0.390621
1800,0.160345,0.388214
1810,0.20384,0.386322
1820,0.182475,0.385184
1830,0.225167,0.384781
1840,0.224224,0.384001
1850,0.161778,0.382719
1860,0.152676,0.381033
1870,0.200411,0.379559
1880,0.183773,0.377823
1890,0.162565,0.376674
1900,0.190369,0.375723
1910,0.181725,0.375258
1920,0.185142,0.374831
1930,0.139751,0.374006
1940,0.154157,0.372951
1950,0.155847,0.371877
1960,0.18922,0.370965
1970,0.161193,0.369827
1980,0.225549,0.36862
1990,0.220358,0.367015
2000,0.173395,0.365306
2010,0.213751,0.363469
2020,0.131271,0.362221
2030,0.147592,0.361268
2040,0.173345,0.360689
2050,0.276512,0.360935
2060,0.173754,0.361884
2070,0.161655,0.362624
2080,0.212564,0.36283
2090,0.151467,0.362962
2100,0.211199,0.362889
2110,0.158267,0.3619
2120,0.227787,0.360377
2130,0.18665,0.35969
2140,0.125772,0.359573
2150,0.229266,0.358697
2160,0.166356,0.35772
2170,0.161039,0.357361
2180,0.216471,0.35771
2190,0.127576,0.357403
2200,0.195188,0.356123
2210,0.129395,0.354635
2220,0.14303,0.354169
2230,0.196717,0.353628
2240,0.20616,0.353495
2250,0.139847,0.353495
2260,0.19231,0.353407
2270,0.244885,0.353751
2280,0.149313,0.354756
2290,0.156074,0.355154
2300,0.165742,0.355045
2310,0.114943,0.354999
2320,0.199556,0.354669
2330,0.183806,0.35367
2340,0.1799,0.353185
2350,0.160886,0.353527
2360,0.266417,0.353969
2370,0.14157,0.354764
2380,0.183982,0.355121
2390,0.163437,0.355582
2400,0.179271,0.355838
2410,0.178049,0.355649
2420,0.184634,0.355534
2430,0.132196,0.354926
2440,0.207827,0.3545
2450,0.139284,0.354882
2460,0.183709,0.354981
2470,0.195943,0.354655
2480,0.193175,0.354552
2490,0.159241,0.354365
2500,0.116313,0.354225
2510,0.124761,0.354047
2520,0.149009,0.353781
2530,0.158378,0.353708
2540,0.124666,0.353103
2550,0.163945,0.352391
2560,0.19895,0.352936
2570,0.107149,0.353397
2580,0.111862,0.352965
2590,0.140244,0.351632
2600,0.196651,0.349773
2610,0.158109,0.348085
2620,0.156809,0.347012
2630,0.136102,0.346018
2640,0.209034,0.345054
2650,0.162898,0.344424
2660,0.227319,0.343895
2670,0.153811,0.343655
2680,0.122972,0.342966
2690,0.187914,0.343037
2700,0.161826,0.344169
2710,0.145007,0.343678
2720,0.131766,0.342544
2730,0.123161,0.341688
2740,0.156626,0.340776
2750,0.150902,0.340181
2760,0.181874,0.339611
2770,0.258046,0.33927
2780,0.238548,0.338293
2790,0.102395,0.337039
2800,0.158041,0.336413
2810,0.14138,0.335809
2820,0.146968,0.334689
2830,0.198027,0.333485
2840,0.185919,0.333335
2850,0.140498,0.334038
2860,0.160856,0.334604
2870,0.155307,0.334861
2880,0.135816,0.334448
2890,0.13931,0.334129
2900,0.132218,0.333903
2910,0.143089,0.333092
2920,0.130546,0.331556
2930,0.145031,0.330751
2940,0.132885,0.330208
2950,0.192117,0.32947
2960,0.157135,0.329002
2970,0.114091,0.328897
2980,0.147251,0.328418
2990,0.168891,0.329047
3000,0.156896,0.329256
3010,0.18357,0.329184
3020,0.102938,0.328621
3030,0.142474,0.327444
3040,0.12736,0.325782
3050,0.165363,0.324615
3060,0.123527,0.325143
3070,0.121153,0.324521
3080,0.259768,0.323134
3090,0.104861,0.32062
3100,0.181297,0.319727
3110,0.199286,0.319924
3120,0.21255,0.320372
3130,0.213348,0.320027
3140,0.121485,0.319812
3150,0.124945,0.318955
3160,0.20554,0.318265
