step, predict, noAA
10,36900.6,0
20,31534.1,0
30,30934.8,0
40,33490.6,0
50,25176.4,0
60,27034.4,0
70,23813.7,0
80,27281.6,0
90,29734.9,0
100,27417.3,0
110,23780.2,0
120,27463.4,0
130,23398.6,0
140,27631.1,0
150,28815.4,0
160,23502.6,0
170,19526.9,0
180,24461.9,0
190,20052.6,0
200,18813.3,0
210,17723.1,0
220,15656.7,0
230,21862.2,0
240,23226.3,0
250,18677.3,0
260,21413.3,0
270,20121.8,0
280,18526.1,0
290,16208.5,0
300,16442.2,0
310,21352.6,0
320,23023.8,0
330,16659.2,0
340,16047.1,0
350,13701.2,0
360,14585.1,0
370,16594.4,0
380,14854.1,0
390,14099.6,0
400,12845.7,0
410,14599,0
420,10862.9,0
430,11222.2,0
440,12616.1,0
450,15810.5,0
460,13708.2,0
470,12404.6,0
480,13267.7,0
490,11632.4,0
500,10813.3,0
510,11423.5,0
520,10440.6,0
530,11427.7,0
540,13314.8,0
550,8792.17,0
560,11298,0
570,8710.68,0
580,9469.16,0
590,12468.5,0
600,7946.08,0
610,7731.12,0
620,8542.68,0
630,8299.22,0
640,7318.57,0
650,5627.66,0
660,6065.79,0
670,7685.03,0
680,8564.11,0
690,9473.54,0
700,9441.66,0
710,5804.92,0
720,6355.31,0
730,6748.45,0
740,6475.37,0
750,4947.5,0
760,5059.54,0
770,7011.23,0
780,4848.36,0
790,5468.65,0
800,4792.28,0
810,5596,0
820,4281,0
830,3632.21,0
840,5079.39,0
850,2943.05,0
860,3609.22,0
870,3862.09,0
880,4156.73,0
890,5537.76,0
900,3333.53,0
910,3255.06,0
920,2442.84,0
930,3205.26,0
940,2368.63,0
950,4097.79,0
960,2247.86,0
970,2349.69,0
980,2602.08,0
990,2959.17,0
1000,2212.92,0
1010,1816.26,0
1020,2419.25,0
1030,1916.82,0
1040,2610.47,0
1050,1772.35,0
1060,2300.35,0
1070,1469.73,0
1080,1771.03,0
1090,1813.66,0
1100,1843.97,0
1110,1924.12,0
1120,1663.72,0
1130,2029.67,0
1140,1365.9,0
1150,1268.19,0
1160,1332.49,0
1170,1802.41,0
1180,1941.06,0
1190,1841.98,0
1200,931.85,0
1210,985.252,0
1220,955.16,0
1230,1298.9,0
1240,825.947,0
