step, loss, error, sigma
10,96.3967,0.509015,1.93553
20,68.0058,0.487081,2.93072
30,39.5398,0.483998,3.94013
40,31.3423,0.483338,4.75081
50,26.8499,0.484361,5.53534
60,18.4367,0.489355,6.29566
70,14.5478,0.494423,7.01662
80,20.6676,0.495833,7.65769
90,19.8923,0.497691,8.23051
100,14.9275,0.494571,8.77248
110,11.0439,0.49248,9.50676
120,7.24372,0.490144,10.1759
130,4.6505,0.487516,10.7674
140,7.67636,0.484063,11.3058
150,3.68218,0.486224,11.6539
160,5.70337,0.483944,12.1396
170,6.76744,0.471492,12.622
180,3.54522,0.459587,12.9602
190,4.59347,0.457195,13.0771
200,2.01772,0.463755,13.2017
210,3.37668,0.459988,13.535
220,2.866,0.452293,13.6696
230,1.69942,0.45554,13.737
240,3.33255,0.456265,13.6459
250,2.09975,0.459852,13.7876
260,1.4802,0.447866,14.0638
270,1.58103,0.434881,14.1937
280,1.69934,0.433594,14.1418
290,1.29482,0.428269,14.2269
300,1.51697,0.419355,14.3372
310,1.16634,0.413151,14.4085
320,1.15567,0.409946,14.4009
330,1.01068,0.403019,14.4688
340,1.2221,0.398786,14.3887
350,0.966378,0.39948,14.5254
360,0.745215,0.393379,14.6783
370,0.904237,0.392539,14.6734
380,0.709509,0.386901,14.6755
390,1.45787,0.378841,14.6078
400,0.865471,0.379167,14.4793
410,0.680627,0.369618,14.5051
420,0.757205,0.354225,14.7588
430,1.19234,0.346718,14.6989
440,0.823686,0.354256,14.6123
450,0.931033,0.344516,14.7414
460,0.59857,0.340737,14.5861
470,0.588432,0.337187,14.6211
480,0.505885,0.318335,14.7479
490,0.47553,0.323821,14.5543
500,0.305218,0.328743,14.5987
510,0.586322,0.318093,14.7498
520,0.393394,0.312558,14.5879
530,0.560398,0.312117,14.6062
540,0.452015,0.300697,14.7413
550,0.466107,0.303653,14.6496
560,0.386875,0.296648,14.7703
570,0.323458,0.288535,14.7417
580,0.201336,0.281169,14.7631
590,0.222504,0.284605,14.5858
600,0.317094,0.279177,14.7357
610,0.231377,0.274552,14.6947
620,0.29337,0.270747,14.6274
630,0.368877,0.272488,14.5724
640,0.264418,0.256656,14.7771
650,0.457929,0.274039,14.4745
660,0.608493,0.258193,14.8397
670,0.384066,0.260507,14.5788
680,0.508188,0.257901,14.8014
690,0.738886,0.238749,14.9688
700,0.516812,0.255637,14.7385
710,0.322836,0.242297,14.8572
720,0.261259,0.234434,14.8125
730,0.278185,0.230098,14.9658
740,0.33349,0.221478,14.8583
