step, predict, noMIP
50,5338.2,5736.57
100,3634.05,4312.73
150,4021.64,4965.28
200,3095.78,4248.41
250,3267.9,4803.34
300,1929.06,3287.55
350,2653.92,4316.49
400,2719.16,4774.43
450,1994.13,3925.37
500,1092.2,2595.72
550,1731.05,3546.34
600,1234.88,3166.82
650,725.569,2014.16
700,724.386,2256.32
750,1456.74,3692.33
800,611.063,1912.4
850,690.89,2113.86
900,755.031,2453.48
950,509.328,1849.28
1000,798.827,2630.04
1050,463.74,1872.18
1100,383.934,1819.98
1150,227.972,1248.23
1200,342.699,1582.39
1250,258.601,1319.89
1300,356.645,1759.4
1350,191.204,1110.45
1400,114.615,911.657
1450,120.063,865.659
1500,83.2182,767.57
1550,146.861,1060.25
1600,184.852,1121.48
1650,119.708,835.568
1700,139.967,976.872
1750,183.915,1166.25
1800,151.247,1099.2
1850,122.808,749.283
1900,66.9192,553.851
1950,52.3679,434.518
2000,72.8293,611.117
2050,93.7963,656.486
2100,43.7927,396.594
2150,37.254,495.075
2200,52.5176,523.12
2250,58.8571,544.072
2300,19.6634,303.768
2350,62.5379,648.29
2400,20.6146,240.801
2450,25.4547,269.323
2500,16.792,358.397
2550,60.3152,618.553
2600,41.3713,514.033
2650,22.9071,290.089
2700,21.0518,268.86
2750,35.1791,382.99
2800,30.9512,375.181
2850,19.148,212.661
2900,30.1833,194.532
2950,23.3032,266.488
3000,21.4967,397.975
3050,7.87688,104.461
3100,24.8816,312.711
3150,21.701,253.624
3200,18.9329,195.813
3250,11.774,170.157
3300,9.78648,124.624
3350,12.4793,128.234
3400,8.66567,126.602
3450,15.786,134.999
3500,13.8447,87.694
3550,7.13999,162.897
3600,11.4918,165.878
3650,5.09258,99.3559
3700,11.219,106.136
3750,14.6497,61.5055
3800,12.6344,87.5362
3850,6.81332,60.5865
3900,9.46011,120.1
3950,14.6636,66.8392
4000,12.2609,91.5036
4050,5.90121,61.4288
4100,17.1316,57.5656
4150,2.62293,36.228
4200,16.1819,59.2316
4250,14.154,31.7149
4300,7.78618,35.4514
4350,6.59973,29.9139
4400,6.54601,31.3362
4450,4.45872,45.7487
4500,4.61734,14.8352
4550,10.0278,10.3541
4600,8.18101,27.722
4650,2.71557,22.4075
4700,6.67739,54.3526
4750,10.6467,40.3263
4800,9.03221,27.0432
4850,7.98406,26.7275
4900,4.08611,25.3025
4950,2.7049,22.3954
5000,5.82684,8.42666
