step, nofilter, 4x4, 16x16
10,7510.38,4726.53,5907.91
20,5590.65,3228.25,4104.72
30,4600.06,2659.66,3377.46
40,3481.01,2010.54,2521.92
50,2334.82,1467.48,1786.43
60,2914.18,1400.19,1729.26
70,2296.92,1441.27,1726.25
80,1101.12,573.786,663.322
90,1004.63,650.98,745.843
100,509.108,390.762,379.475
110,385.104,280.436,276.67
120,293.552,186.042,186.428
130,274.002,150.461,150.454
140,177.053,88.7281,85.6745
150,226.666,107.41,104.902
160,178.548,81.4575,74.9328
170,134.372,72.0024,63.633
180,147.359,49.2037,41.1754
190,170.295,52.4365,37.3735
200,162.148,37.3619,26.9856
210,130.497,25.5523,18.7231
220,116.51,18.6784,12.1952
230,81.0801,20.727,15.4426
240,83.755,12.1031,7.07155
250,80.446,16.9809,10.8319
260,99.9294,14.1774,8.56374
270,102.834,10.636,5.20089
280,197.446,8.10032,4.16785
290,129.973,6.39205,3.26386
