step, Ka, Kd, Ks, alpha, predict
10,6917.75,0.101218,0.101365,0.101463,0.912424
20,2403.29,0.188524,0.189906,0.190466,0.8057
30,646.284,0.250762,0.256235,0.256436,0.711089
40,540.497,0.277391,0.291194,0.286933,0.694736
50,662.712,0.273917,0.299696,0.286162,0.764196
60,554.783,0.25806,0.297832,0.273425,0.852536
70,446.951,0.244837,0.299356,0.264576,0.922759
80,410.954,0.238945,0.308317,0.263691,0.970919
90,407.958,0.237103,0.321346,0.266821,1.00944
100,403.059,0.23474,0.333972,0.269157,1.05039
110,392.332,0.23035,0.344626,0.269129,1.09732
120,372.795,0.225162,0.354293,0.267855,1.14759
130,354.42,0.220577,0.364146,0.266646,1.19845
140,347.873,0.216776,0.374261,0.26574,1.2495
150,334.391,0.213231,0.384091,0.264785,1.30147
160,336.847,0.209663,0.39332,0.263647,1.35463
170,311.567,0.206206,0.402006,0.262517,1.40867
180,304.532,0.203022,0.41024,0.261594,1.4633
190,316.591,0.200102,0.417963,0.260929,1.51848
200,302.729,0.197385,0.425083,0.260524,1.57426
210,291.705,0.194883,0.43158,0.260422,1.63061
220,283.442,0.19263,0.437465,0.260674,1.6875
230,289.746,0.190629,0.442737,0.261303,1.74493
240,262.001,0.188868,0.447394,0.262313,1.80293
250,270.005,0.187342,0.451458,0.263712,1.8615
260,260.84,0.186048,0.45496,0.265498,1.92067
270,265.268,0.18497,0.457937,0.267661,1.98046
280,255.75,0.18409,0.460429,0.270181,2.04089
290,247.301,0.183391,0.462489,0.273037,2.10199
300,240.7,0.182851,0.464167,0.276197,2.16377
310,246.78,0.182448,0.465519,0.279631,2.22626
320,240.26,0.182161,0.466597,0.283302,2.28946
330,229.004,0.181968,0.467455,0.287173,2.35339
340,228.862,0.181849,0.46814,0.291209,2.41805
350,220.919,0.181786,0.468696,0.295376,2.48344
360,217.359,0.181762,0.469161,0.29964,2.54955
370,214.095,0.181763,0.469568,0.303975,2.61636
380,212.929,0.181778,0.469943,0.308356,2.68387
390,206.47,0.1818,0.470304,0.312764,2.75204
400,199.695,0.181821,0.470667,0.317182,2.82086
410,189.886,0.181837,0.471041,0.3216,2.89031
420,196.579,0.181846,0.47143,0.32601,2.96035
430,190.037,0.181847,0.471838,0.330407,3.03095
440,182.394,0.18184,0.472264,0.334787,3.10209
450,171.648,0.181823,0.472708,0.339149,3.17373
460,173.307,0.1818,0.473168,0.343492,3.24586
470,169.628,0.181769,0.473642,0.347816,3.31844
480,164.033,0.181732,0.474129,0.35212,3.39144
490,160.295,0.181689,0.474625,0.356405,3.46485
500,152.335,0.181641,0.475131,0.360669,3.53863
510,156.141,0.181588,0.475645,0.364913,3.61277
520,153.871,0.181531,0.476166,0.369136,3.68724
530,140.29,0.18147,0.476693,0.373338,3.76202
540,144.146,0.181405,0.477225,0.377516,3.83709
550,139.889,0.181336,0.477762,0.381672,3.91243
560,135.882,0.181264,0.478304,0.385804,3.98802
570,133.116,0.181189,0.478848,0.389912,4.06385
580,129.069,0.181111,0.479397,0.393996,4.13989
590,126.915,0.181031,0.479947,0.398055,4.21614
600,125.609,0.180948,0.480499,0.402088,4.29257
610,120.574,0.180862,0.481053,0.406096,4.36917
620,116.192,0.180775,0.481609,0.410078,4.44593
630,114.494,0.180686,0.482165,0.414034,4.52284
640,109.117,0.180595,0.482721,0.417963,4.59987
650,107.042,0.180502,0.483278,0.421865,4.67702
660,105.372,0.180407,0.483835,0.425741,4.75428
670,98.7291,0.180311,0.484392,0.429589,4.83164
680,95.4844,0.180214,0.484948,0.43341,4.90908
690,96.9035,0.180116,0.485503,0.437204,4.9866
700,95.8238,0.180016,0.486057,0.44097,5.06418
710,88.2023,0.179915,0.486611,0.444709,5.14183
720,86.2417,0.179813,0.487163,0.44842,5.21952
730,83.6572,0.179711,0.487713,0.452103,5.29725
740,80.9422,0.179608,0.488262,0.455758,5.37502
750,80.9773,0.179504,0.488809,0.459386,5.45281
760,78.9964,0.179399,0.489354,0.462986,5.53062
770,75.5001,0.179294,0.489897,0.466558,5.60844
780,71.6996,0.179188,0.490438,0.470103,5.68626
790,73.7665,0.179082,0.490976,0.47362,5.76409
800,71.8346,0.178975,0.491513,0.477109,5.84191
810,71.1899,0.178868,0.492047,0.480571,5.91971
820,68.5288,0.178761,0.492578,0.484005,5.9975
830,62.5159,0.178654,0.493107,0.487412,6.07526
840,62.2337,0.178546,0.493633,0.490792,6.15299
850,59.2715,0.178438,0.494157,0.494144,6.23069
860,55.9507,0.17833,0.494677,0.497469,6.30836
870,56.5821,0.178222,0.495195,0.500768,6.38597
880,54.4083,0.178115,0.49571,0.504039,6.46354
890,52.0401,0.178006,0.496223,0.507284,6.54106
900,51.3566,0.177898,0.496732,0.510501,6.61852
910,49.8962,0.177791,0.497238,0.513693,6.69592
920,50.5074,0.177683,0.497741,0.516857,6.77326
930,45.6146,0.177575,0.498242,0.519996,6.85052
940,43.0415,0.177467,0.498739,0.523108,6.92771
950,43.3366,0.17736,0.499233,0.526194,7.00482
960,41.5773,0.177253,0.499724,0.529255,7.08186
970,40.8147,0.177146,0.500211,0.532289,7.1588
980,39.3785,0.177039,0.500696,0.535298,7.23566
990,38.6217,0.176933,0.501177,0.538281,7.31243
1000,36.7317,0.176827,0.501655,0.541239,7.3891
1010,35.088,0.176721,0.50213,0.544171,7.46566
1020,33.2129,0.176616,0.502601,0.547079,7.54212
1030,31.7967,0.17651,0.50307,0.549961,7.61848
1040,32.2165,0.176406,0.503535,0.552819,7.69472
1050,30.224,0.176301,0.503996,0.555651,7.77084
1060,28.9868,0.176197,0.504455,0.558459,7.84684
1070,28.4729,0.176094,0.50491,0.561242,7.92272
1080,26.5559,0.175991,0.505362,0.564002,7.99847
1090,27.9422,0.175888,0.50581,0.566736,8.07408
1100,26.4491,0.175786,0.506255,0.569447,8.14956
1110,25.1787,0.175684,0.506697,0.572133,8.22489
1120,23.692,0.175583,0.507136,0.574796,8.30008
1130,23.0452,0.175482,0.507571,0.577435,8.37512
1140,21.9855,0.175382,0.508002,0.58005,8.45
1150,19.6641,0.175283,0.508431,0.582641,8.52472
1160,20.7264,0.175183,0.508856,0.585209,8.59928
1170,19.921,0.175085,0.509278,0.587753,8.67366
1180,19.1745,0.174986,0.509696,0.590274,8.74787
1190,17.7488,0.174889,0.510111,0.592772,8.8219
1200,16.4149,0.174792,0.510522,0.595246,8.89575
1210,16.9015,0.174692,0.510927,0.597697,8.9694
1220,15.8538,0.174216,0.511016,0.600072,9.04286
1230,15.105,0.173545,0.510836,0.602315,9.11611
1240,14.1953,0.174248,0.511977,0.604879,9.18913
1250,13.3682,0.174551,0.51275,0.607337,9.26194
1260,12.6434,0.17439,0.513073,0.609658,9.33453
1270,12.4537,0.174008,0.513185,0.611893,9.4069
1280,11.9028,0.174116,0.51376,0.614236,9.47902
